wl,GL,G,BL,B,YL,Y,C,bkg
212.25,131.179,45.073,96.54,48.789,154.502,-691.304,-1259.589,470.82
212.46,132.784,41.516,120.779,32.468,127.832,2116,-1866.667,397.347
212.67,123.802,26.116,99.471,22.222,117.412,1521.875,-2342.857,444.937
212.88,114.758,24.67,77.344,55.469,115.808,347.273,-3424.074,420.872
213.09,105.857,29.067,45.946,81.081,109.913,213.986,2920.313,512.917
213.31,129.563,54.365,42.963,71.111,115,200.608,1745.283,530.859
213.52,111.774,52.747,152.027,120.27,105.657,290.98,1620.87,608.5
213.73,121.593,49.735,203.659,54.878,116.891,162.648,921.675,631.351
213.94,117.185,57.587,189.844,30.469,122.927,154.067,1725.714,682.317
214.15,96.78,25,123.529,17.059,115.864,110.537,1279.562,706.897
214.36,106.115,34.353,210.256,-162.821,114.259,122.904,1464.407,474.9
214.57,145.301,36.386,181.982,-45.045,118.567,159.551,827.317,721.918
214.78,154.617,49.604,-9.091,-395.455,117.659,172.48,707.087,565.714
214.99,243.165,46.043,20.896,437.313,118.13,175.831,573.29,702.186
215.2,220,71.429,38.961,425.974,104.189,189.095,750.226,765.823
215.41,463.91,146.617,6.667,460,112.669,213.819,1074.839,779.487
215.62,-8771.429,-2785.714,185,-395,107.211,203.885,-14427.273,2678
215.83,-839.344,-304.918,-20.721,-133.333,112.132,189.266,-2389.062,1035.659
216.04,-387.97,-130.827,-110.87,-291.304,106.339,237.327,2170.667,663.761
216.25,-1067.164,-362.687,31.492,-70.166,105.596,254.177,1331.092,484.95
216.46,5373.333,2553.333,26.104,-91.566,102.262,264.689,663.396,530.35
216.67,-3678.947,-2494.737,18.539,-77.247,102.736,262.712,725.108,1648.718
216.88,-745.679,-564.198,-11.897,-100.965,110.075,215.315,571.579,1114.286
217.09,-743.038,-673.418,-38.75,-140.833,103.246,220.243,643.191,838.554
217.3,-1602.439,-1248.78,-117.355,-238.017,96.662,273.253,843.147,804.494
217.51,-1105.172,-686.207,-7766.667,-11833.333,84.548,309.804,671.369,1006.207
217.72,-788.889,-554.167,192.366,270.229,80.227,221.937,837.368,801.714
217.93,-284.615,-181.319,462.903,619.355,82.934,191.023,16922.222,2639.623
218.14,-433.607,-368.852,461.017,701.695,76.553,281.89,2305.714,3390.244
218.36,-1353.488,-886.047,400.943,412.264,76.746,301.087,734.247,836.723
218.57,-2753.846,-2138.462,321.333,294.667,76.898,373.267,622.932,729.189
218.78,-1081.667,-753.333,390.09,279.279,78.471,474.654,580.063,909.459
218.99,6581.818,3827.273,420.388,244.66,89.194,338.832,550.685,3337.5
219.2,23800,16533.333,304.8,216,86.547,265.642,545.455,-4938.462
219.41,-1962.069,-1768.966,-1220.588,-502.941,82.319,237.572,643.73,1289.109
219.62,-744.118,-676.471,0,0,86.765,269.759,677.104,752.261
219.83,943.939,757.576,1222.222,768.889,94.077,565.185,658.73,1108.73
220.04,397.744,359.398,234.495,157.143,84.109,757.534,578.689,739.205
220.25,264.918,207.541,238.298,202.482,97.824,448.201,432.265,768.605
220.46,264.982,228.881,230.315,247.244,88.354,286.869,509.501,1917.46
220.67,306.723,238.655,182.301,163.717,96.127,225.498,814,2360.784
220.88,415.942,365.942,152.987,131.429,103.544,163.251,1303.593,1306.25
221.09,324.599,206.417,153.974,130.464,110.363,162,1754.472,604.412
221.3,374.85,230.539,152.381,170.37,100.744,293.893,8029.63,850.694
221.51,1069.231,353.846,183.803,180.282,114.799,-2266.667,5716.216,1556.757
221.72,3037.5,1537.5,454.054,424.324,113.043,212.222,-3406.557,1161.29
221.93,1111.111,615.556,1616.667,1166.667,161.072,152.239,-631.27,2665.789
222.14,979.63,298.148,-1510.526,-1515.789,144.731,-61.224,-849.787,-785.385
222.35,975.472,386.792,-278.571,-308.333,154.177,-61.616,-2134.043,-2830.233
222.56,-1148.78,-192.683,504.412,450,160.514,-137.931,-1166.867,-18400
222.77,-243.396,-35.849,-611.111,-619.444,123.992,-180.723,-1195.21,-1339.785
222.98,-385,27,-536.364,-584.091,126.667,-125.926,-1300.641,-3373.81
223.19,-250.345,-35.172,3122.222,4266.667,125.192,-157.463,-2015,1635.484
223.4,-85.714,0.461,-28000,-42500,110.334,839.286,-683.395,667.984
223.61,-53.112,48.133,-802.941,-814.706,122.097,-414.286,-712.295,686.777
223.82,-75,24.576,529.333,388,139.808,-651.064,-691.304,834.466
224.03,-30.508,33.616,-780,-516,138.608,352.273,-512.13,926.257
224.24,-0.445,39.198,-293.75,-98.437,116.736,150.521,-579.791,710.442
224.45,-3.982,37.389,-48.78,-18.699,110.329,206.863,-550.329,532.609
224.66,23.907,46.356,-30.575,9.655,84.667,185.787,-417.15,451.989
